"filename", "language", "JavaScript", "XML", "JSON", "SQL", "Log", "YAML", "CSS", "Markdown", "Docker", "HTML", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/login/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 4, 10, 66
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/login/test.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 14
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/marker/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 2, 10, 113
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 23, 41, 233
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/marker.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 11, 41, 274
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/popup_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 557, 58, 131, 746
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/station.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 14, 64
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/user.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 23, 85
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/carousel_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 14, 12, 137
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 2, 11, 115
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/save_order.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 10, 72
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/update_image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 10, 72
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/register/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 6, 7, 53
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/stations/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 3, 9, 67
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/test.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 14
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/test3.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 7, 16
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/token/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 2, 9, 56
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/user/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 1, 4, 45
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/user/test_user.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 2, 4, 45
